center cam,left cam,right cam,angle,forward,reverse,speed
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_235.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_235.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_235.jpg,-0.05633803,1,0,30.18743
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_309.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_309.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_309.jpg,-0.06103287,1,0,30.18848
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_383.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_383.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_383.jpg,-0.05164319,1,0,30.18916
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_459.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_459.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_459.jpg,-0.1737089,1,0,30.18367
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_530.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_530.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_530.jpg,-0.3333334,1,0,30.16987
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_603.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_603.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_603.jpg,-0.3333334,1,0,30.17801
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_672.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_672.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_672.jpg,-0.3333334,1,0,30.18205
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_759.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_759.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_759.jpg,-0.3333334,1,0,30.1853
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_846.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_846.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_846.jpg,-0.3333334,1,0,30.18689
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_913.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_913.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_913.jpg,-0.3333334,1,0,30.19067
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_983.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_983.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_983.jpg,-0.3333334,1,0,30.18839
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_071.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_071.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_071.jpg,-0.3333334,1,0,30.18814
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_159.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_159.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_159.jpg,-0.3333334,1,0,30.18945
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_247.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_247.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_247.jpg,-0.3333334,1,0,30.18914
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_313.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_313.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_313.jpg,-0.2488263,1,0,30.19438
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_383.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_383.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_383.jpg,0.1361502,1,0,30.16279
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_471.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_471.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_471.jpg,0.1408451,1,0,30.18133
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_554.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_554.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_554.jpg,0.1408451,1,0,30.18764
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_623.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_623.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_623.jpg,0.1830986,1,0,30.18398
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_693.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_693.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_693.jpg,0.4600939,1,0,30.14588
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_761.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_761.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_761.jpg,0.2535211,1,0,30.1882
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_829.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_829.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_829.jpg,0.07981221,1,0,30.18967
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_918.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_918.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_918.jpg,0.07981221,1,0,30.19115
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_31_985.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_31_985.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_31_985.jpg,0.07981221,1,0,30.19022
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_055.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_055.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_055.jpg,0.07981221,1,0,30.1903
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_124.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_124.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_124.jpg,0.07511737,1,0,30.19036
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_197.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_197.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_197.jpg,0.1220657,1,0,30.18958
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_266.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_266.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_266.jpg,0.5868545,1,0,30.12576
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_340.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_340.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_340.jpg,0.9765259,1,0,30.07453
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_413.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_413.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_413.jpg,0.657277,1,0,30.14991
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_485.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_485.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_485.jpg,0.2394366,1,0,30.19648
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_556.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_556.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_556.jpg,0.2206573,1,0,30.19432
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_626.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_626.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_626.jpg,0.2206573,1,0,30.1936
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_696.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_696.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_696.jpg,0.03755869,1,0,30.19053
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_765.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_765.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_765.jpg,-0.01877934,1,0,30.18764
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_833.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_833.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_833.jpg,-0.02347418,1,0,30.18923
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_902.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_902.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_902.jpg,-0.03755869,1,0,30.18952
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_32_969.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_32_969.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_32_969.jpg,-0.399061,1,0,30.1415
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_036.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_036.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_036.jpg,-0.4366197,1,0,30.1535
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_105.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_105.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_105.jpg,-0.4600939,1,0,30.16572
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_174.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_174.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_174.jpg,-0.5868545,1,0,30.15176
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_242.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_242.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_242.jpg,-0.5868545,1,0,30.16156
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_312.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_312.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_312.jpg,-0.5023474,1,0,30.18468
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_391.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_391.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_391.jpg,0.2910798,1,0,30.14972
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_461.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_461.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_461.jpg,0.5915493,1,0,30.09814
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_534.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_534.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_534.jpg,0.5915493,1,0,30.11019
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_609.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_609.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_609.jpg,0.6384977,1,0,30.11907
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_684.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_684.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_684.jpg,0.6995305,1,0,30.12243
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_756.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_756.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_756.jpg,0.657277,1,0,30.15134
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_826.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_826.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_826.jpg,0.2347418,1,0,30.19826
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_895.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_895.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_895.jpg,-0.2723005,1,0,30.14655
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_33_969.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_33_969.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_33_969.jpg,-0.7183099,1,0,30.06691
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_037.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_037.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_037.jpg,-1,1,0,30.06867
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_106.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_106.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_106.jpg,-1,1,0,30.05091
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_175.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_175.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_175.jpg,-1,1,0,29.955
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_246.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_246.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_246.jpg,-1,1,0,30.09318
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_317.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_317.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_317.jpg,-1,1,0,30.12715
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_390.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_390.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_390.jpg,-1,1,0,30.06857
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_461.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_461.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_461.jpg,-0.8591549,1,0,30.18582
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_548.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_548.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_548.jpg,-0.6244131,1,0,30.20367
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_634.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_634.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_634.jpg,-0.6197183,1,0,30.20051
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_712.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_712.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_712.jpg,-0.1549296,1,0,30.20044
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_787.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_787.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_787.jpg,0.9436619,1,0,30.07283
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_863.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_863.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_863.jpg,1,1,0,30.06388
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_34_932.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_34_932.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_34_932.jpg,1,1,0,30.05676
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_35_002.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_35_002.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_35_002.jpg,1,1,0,30.05912
